Year,District,GDP,GrowthRate,State
1999,Agra,4545.01,,Uttar Pradesh
1999,Aligarh,3774.32,,Uttar Pradesh
1999,Allahabad,5230.28,,Uttar Pradesh
1999,Ambedkar Nagar,1276.49,,Uttar Pradesh
1999,Auraiyya,1386.52,,Uttar Pradesh
1999,Azamgarh,2667.54,,Uttar Pradesh
1999,Badaun,3588.23,,Uttar Pradesh
1999,Bagpat,1833.61,,Uttar Pradesh
1999,Bahraich,1391.43,,Uttar Pradesh
1999,Ballia,1874.96,,Uttar Pradesh
1999,Balrampur,1026.22,,Uttar Pradesh
1999,Banda,1214.05,,Uttar Pradesh
1999,Barabanki,2455.4,,Uttar Pradesh
1999,Bareilly,4477.63,,Uttar Pradesh
1999,Basti,1384.02,,Uttar Pradesh
1999,Bijnor,4261.03,,Uttar Pradesh
1999,BulandShahar,4459.11,,Uttar Pradesh
1999,Chandauli,1514.91,,Uttar Pradesh
1999,Chitrakoot,502.65,,Uttar Pradesh
1999,Deoria,1647.24,,Uttar Pradesh
1999,Etah,2658.04,,Uttar Pradesh
1999,Etawa,1261.56,,Uttar Pradesh
1999,Faizabad,1525.4,,Uttar Pradesh
1999,Farrukhabad,1514.14,,Uttar Pradesh
1999,Fatehpur,1976.17,,Uttar Pradesh
1999,Firozabad,2113.86,,Uttar Pradesh
1999,Gautambudh Nagar,4508.62,,Uttar Pradesh
1999,Ghaziabad,5884.21,,Uttar Pradesh
1999,Ghazipur,2076.42,,Uttar Pradesh
1999,Gonda,1634.78,,Uttar Pradesh
1999,Gorakhpur,2919.83,,Uttar Pradesh
1999,Hamirpur,1115.36,,Uttar Pradesh
1999,Hardoi,2615.12,,Uttar Pradesh
1999,Hath Ras (Mahamaya Nagar),1765.25,,Uttar Pradesh
1999,Jalaun,1608.24,,Uttar Pradesh
1999,Jaunpur,2533.64,,Uttar Pradesh
1999,Jhansi,2416.61,,Uttar Pradesh
1999,Jyotiba Phule Nagar,2208.98,,Uttar Pradesh
1999,Kannauj,1331.61,,Uttar Pradesh
1999,Kanpur: Rural,1715.33,,Uttar Pradesh
1999,Kanpur: Urban,5404.55,,Uttar Pradesh
1999,Kaushambi,953.43,,Uttar Pradesh
1999,Kheri,3438.19,,Uttar Pradesh
1999,Kushi Nagar,1896.98,,Uttar Pradesh
1999,Lalitpur,891.2,,Uttar Pradesh
1999,Lucknow,5585.9,,Uttar Pradesh
1999,Maharajganj,1609.61,,Uttar Pradesh
1999,Mahoba,848.84,,Uttar Pradesh
1999,Mainpuri,1518.13,,Uttar Pradesh
1999,Mathura,2860.62,,Uttar Pradesh
1999,Mau,1620.92,,Uttar Pradesh
1999,Meerut,5166.86,,Uttar Pradesh
1999,Mirzapur,1836.49,,Uttar Pradesh
1999,Moradabad,4615.28,,Uttar Pradesh
1999,Muzaffarnagar,5112.72,,Uttar Pradesh
1999,Pilibhit,1759.01,,Uttar Pradesh
1999,Pratapgarh,1576.13,,Uttar Pradesh
1999,Rae Bareli,2155.09,,Uttar Pradesh
1999,Rampur,2497.94,,Uttar Pradesh
1999,Saharanpur,4403.0,,Uttar Pradesh
1999,Sant Kabeer Nagar,920.6,,Uttar Pradesh
1999,Sant Ravidas Nagar,1687.79,,Uttar Pradesh
1999,Shahjahanpur,2790.6,,Uttar Pradesh
1999,Shravasti,664.08,,Uttar Pradesh
1999,Siddharth Nagar,1301.93,,Uttar Pradesh
1999,Sitapur,2903.55,,Uttar Pradesh
1999,Sonbhadra,3766.49,,Uttar Pradesh
1999,Sultanpur,2457.9,,Uttar Pradesh
1999,Unnao,2166.72,,Uttar Pradesh
1999,Varanasi,2753.3,,Uttar Pradesh
2000,Agra,4372.74,-3.790310692,Uttar Pradesh
2000,Aligarh,3912.89,3.671389813,Uttar Pradesh
2000,Allahabad,5639.85,7.830747111,Uttar Pradesh
2000,Ambedkar Nagar,1364.63,6.904871954,Uttar Pradesh
2000,Auraiyya,1443.05,4.077113926,Uttar Pradesh
2000,Azamgarh,2652.5,-0.56381535,Uttar Pradesh
2000,Badaun,3244.58,-9.577145278,Uttar Pradesh
2000,Bagpat,1962.24,7.015123172,Uttar Pradesh
2000,Bahraich,1406.95,1.115399266,Uttar Pradesh
2000,Ballia,1911.67,1.957908435,Uttar Pradesh
2000,Balrampur,1174.98,14.49591705,Uttar Pradesh
2000,Banda,1169.23,-3.691775462,Uttar Pradesh
2000,Barabanki,2464.71,0.379164291,Uttar Pradesh
2000,Bareilly,4540.69,1.40833432,Uttar Pradesh
2000,Basti,1377.16,-0.495657577,Uttar Pradesh
2000,Bijnor,4213.14,-1.123906661,Uttar Pradesh
2000,BulandShahar,4641.58,4.092072185,Uttar Pradesh
2000,Chandauli,1614.92,6.601712313,Uttar Pradesh
2000,Chitrakoot,494.09,-1.702974237,Uttar Pradesh
2000,Deoria,1688.05,2.477477477,Uttar Pradesh
2000,Etah,2632.41,-0.96424433,Uttar Pradesh
2000,Etawa,1211.46,-3.971273661,Uttar Pradesh
2000,Faizabad,1638.26,7.398715091,Uttar Pradesh
2000,Farrukhabad,1647.3,8.794431162,Uttar Pradesh
2000,Fatehpur,1911.4,-3.277552032,Uttar Pradesh
2000,Firozabad,2372.79,12.24915557,Uttar Pradesh
2000,Gautambudh Nagar,4569.47,1.349636918,Uttar Pradesh
2000,Ghaziabad,6394.74,8.676270901,Uttar Pradesh
2000,Ghazipur,2143.7,3.240192254,Uttar Pradesh
2000,Gonda,1682.8,2.937398304,Uttar Pradesh
2000,Gorakhpur,3086.09,5.694167126,Uttar Pradesh
2000,Hamirpur,1037.84,-6.95022235,Uttar Pradesh
2000,Hardoi,2564.37,-1.940637523,Uttar Pradesh
2000,Hath Ras (Mahamaya Nagar),1923.81,8.982297125,Uttar Pradesh
2000,Jalaun,1455.76,-9.481171964,Uttar Pradesh
2000,Jaunpur,2640.83,4.230672077,Uttar Pradesh
2000,Jhansi,2574.09,6.516566595,Uttar Pradesh
2000,Jyotiba Phule Nagar,2236.67,1.253519724,Uttar Pradesh
2000,Kannauj,2153.57,61.72678187,Uttar Pradesh
2000,Kanpur: Rural,1777.73,3.637783983,Uttar Pradesh
2000,Kanpur: Urban,6052.55,11.9898974,Uttar Pradesh
2000,Kaushambi,1060.95,11.27717819,Uttar Pradesh
2000,Kheri,3370.62,-1.965278242,Uttar Pradesh
2000,Kushi Nagar,1988.54,4.826619153,Uttar Pradesh
2000,Lalitpur,887.15,-0.454443447,Uttar Pradesh
2000,Lucknow,6700.99,19.96258436,Uttar Pradesh
2000,Maharajganj,1550.18,-3.692198731,Uttar Pradesh
2000,Mahoba,798.41,-5.941048961,Uttar Pradesh
2000,Mainpuri,1596.95,5.191913736,Uttar Pradesh
2000,Mathura,2903.6,1.502471492,Uttar Pradesh
2000,Mau,1687.39,4.100757594,Uttar Pradesh
2000,Meerut,5322.64,3.014983955,Uttar Pradesh
2000,Mirzapur,1917.02,4.38499529,Uttar Pradesh
2000,Moradabad,4250.41,-7.905695862,Uttar Pradesh
2000,Muzaffarnagar,5107.04,-0.111095464,Uttar Pradesh
2000,Pilibhit,2072.88,17.84355973,Uttar Pradesh
2000,Pratapgarh,1639.91,4.04662052,Uttar Pradesh
2000,Rae Bareli,2064.24,-4.215601205,Uttar Pradesh
2000,Rampur,2530.97,1.322289567,Uttar Pradesh
2000,Saharanpur,4640.64,5.397229162,Uttar Pradesh
2000,Sant Kabeer Nagar,893.29,-2.966543559,Uttar Pradesh
2000,Sant Ravidas Nagar,1202.5,-28.75298467,Uttar Pradesh
2000,Shahjahanpur,2586.08,-7.328889844,Uttar Pradesh
2000,Shravasti,753.78,13.50740875,Uttar Pradesh
2000,Siddharth Nagar,1283.53,-1.413286429,Uttar Pradesh
2000,Sitapur,3652.6,25.79773036,Uttar Pradesh
2000,Sonbhadra,3282.83,-12.84113326,Uttar Pradesh
2000,Sultanpur,2572.86,4.677163432,Uttar Pradesh
2000,Unnao,2167.85,0.052152562,Uttar Pradesh
2000,Varanasi,3187.34,15.7643555,Uttar Pradesh
2001,Agra,4597.93,5.149860271,Uttar Pradesh
2001,Aligarh,3719.35,-4.946216224,Uttar Pradesh
2001,Allahabad,5539.63,-1.776997615,Uttar Pradesh
2001,Ambedkar Nagar,1465.87,7.41886079,Uttar Pradesh
2001,Auraiyya,1113.67,-22.82526593,Uttar Pradesh
2001,Azamgarh,2779.15,4.774740811,Uttar Pradesh
2001,Badaun,3473.48,7.054842229,Uttar Pradesh
2001,Bagpat,1923.65,-1.966629974,Uttar Pradesh
2001,Bahraich,1674.03,18.98290629,Uttar Pradesh
2001,Ballia,1951.88,2.103396507,Uttar Pradesh
2001,Balrampur,1192.19,1.464705782,Uttar Pradesh
2001,Banda,1319.43,12.84606108,Uttar Pradesh
2001,Barabanki,2787.6,13.10052704,Uttar Pradesh
2001,Bareilly,4585.92,0.996104116,Uttar Pradesh
2001,Basti,1437.73,4.398181765,Uttar Pradesh
2001,Bijnor,4533.22,7.597184048,Uttar Pradesh
2001,BulandShahar,4822.14,3.89005468,Uttar Pradesh
2001,Chandauli,1775.23,9.92680752,Uttar Pradesh
2001,Chitrakoot,548.72,11.05669008,Uttar Pradesh
2001,Deoria,1661.1,-1.596516691,Uttar Pradesh
2001,Etah,2710.63,2.971421625,Uttar Pradesh
2001,Etawa,1349.21,11.37057765,Uttar Pradesh
2001,Faizabad,1726.51,5.386812838,Uttar Pradesh
2001,Farrukhabad,1663.33,0.973107509,Uttar Pradesh
2001,Fatehpur,1979.05,3.539290572,Uttar Pradesh
2001,Firozabad,2508.09,5.702148104,Uttar Pradesh
2001,Gautambudh Nagar,4677.26,2.358916898,Uttar Pradesh
2001,Ghaziabad,6287.59,-1.67559588,Uttar Pradesh
2001,Ghazipur,2196.1,2.44437188,Uttar Pradesh
2001,Gonda,1917.86,13.96838602,Uttar Pradesh
2001,Gorakhpur,3279.48,6.266505513,Uttar Pradesh
2001,Hamirpur,1118.7,7.791181685,Uttar Pradesh
2001,Hardoi,2515.39,-1.910020785,Uttar Pradesh
2001,Hath Ras (Mahamaya Nagar),1910.74,-0.67938102,Uttar Pradesh
2001,Jalaun,1675.9,15.12199813,Uttar Pradesh
