State,Year,District,GDP,GrowthRate,GDP_score,Growth_score,DDI,Rank,Category
AndhraPradesh,1999,Adilabad,3463.28,,0.017911984104507964,,,,Low Development
AndhraPradesh,1999,Anantapur,4728.59,,0.024506133301653583,,,,Low Development
AndhraPradesh,1999,Chittoor,5395.57,,0.02798209226152285,,,,Low Development
AndhraPradesh,1999,Godavari East,9507.67,,0.04941225634272232,,,,Low Development
AndhraPradesh,1999,Godavari West,7398.0,,0.03841773425980019,,,,Low Development
AndhraPradesh,1999,Guntur,7905.62,,0.04106319032626221,,,,Low Development
AndhraPradesh,1999,Hyderabad,9213.4,,0.04787867146293472,,,,Low Development
AndhraPradesh,1999,Kadapa,3822.76,,0.019785410184591033,,,,Low Development
AndhraPradesh,1999,Karimnagar,6470.23,,0.03358267107320102,,,,Low Development
AndhraPradesh,1999,Khammam,4947.7,,0.025648022665198146,,,,Low Development
AndhraPradesh,1999,Krishna,8615.47,,0.04476256582127435,,,,Low Development
AndhraPradesh,1999,Kurnool,4548.1,,0.023565511644832084,,,,Low Development
AndhraPradesh,1999,Mahabubnagar,3796.76,,0.0196499114695522,,,,Low Development
AndhraPradesh,1999,Medak,6681.38,,0.03468307698398755,,,,Low Development
AndhraPradesh,1999,Nalgonda,4907.01,,0.025435967176162377,,,,Low Development
AndhraPradesh,1999,Nellore,4575.15,,0.023706482423362867,,,,Low Development
AndhraPradesh,1999,Nizamabad,3176.41,,0.016416964243616036,,,,Low Development
AndhraPradesh,1999,Prakasam,4504.11,,0.023336258241964454,,,,Low Development
AndhraPradesh,1999,Rangareddy,7466.97,,0.0387771706588859,,,,Low Development
AndhraPradesh,1999,Srikakulam,2881.3,,0.014879001713034882,,,,Low Development
AndhraPradesh,1999,Visakapatnam,7917.36,,0.04112437320759128,,,,Low Development
AndhraPradesh,1999,Vizianagaram,2636.85,,0.01360505321721785,,,,Low Development
AndhraPradesh,1999,Warangal,4237.43,,0.021946458344789223,,,,Low Development
AndhraPradesh,2000,Adilabad,3742.69,8.067785452,0.019368126257161826,0.4244044807102109,0.1813826680383815,111.0,Low Development
