State,Avg_DDI,Avg_GDP,Avg_Growth,Districts
AndhraPradesh,0.20574107317017773,10882.336116504855,8.54236959139071,23
ArunachalPradesh,0.1689986465442304,167.31538461538463,7.321874092567308,13
Assam,0.17036073716457317,1576.244633027523,5.423211954727749,27
Bihar,0.1580809627339659,1862.0086109140889,-2.6353212296818183,39
Chattisgarh,0.1768543454219029,2072.19953125,8.391660570910714,16
Haryana,0.1796179000514488,3430.0624060150376,7.354156524254386,19
HimachalPradesh,0.17163631542929011,1424.0660714285714,6.4640382101250005,12
Jharkhand,0.16739361979790912,1790.2777464788733,3.2161413449999996,22
Karnataka,0.18272434606031387,5828.317296416938,4.8893690928039995,30
Kerala,0.19867168961575435,9273.949732142857,7.486752958352041,14
MadhyaPradesh,0.1674508207630415,1881.373861111111,3.0854449057396827,45
Maharashtra,0.2154935340753598,13128.254577205882,9.767934389777311,34
Manipur,0.17218779710520826,435.68180555555557,8.747629819111111,9
Meghalaya,0.1679294638677054,629.74625,5.763532533163265,7
Mizoram,0.16530192956936887,231.94982142857143,4.9385393434791665,8
Odisha,0.17673655457513732,2498.540577777778,7.462761402689743,31
Punjab,0.18267837319851626,5467.783888888889,5.307212119013954,20
Rajasthan,0.17932968541182384,3797.1883014354066,6.523095645090651,33
Sikkim,0.1698192958479625,295.510625,7.569119470857143,4
Tamilnadu,0.1815658283582675,5210.5417916666665,5.174794855842857,30
UttarPradesh,0.1782112401946752,3806.0455208333333,5.79330121995733,74
Uttarakhand,0.1754667330315326,1345.3214423076922,8.930948967604396,13
WestBengal,0.20224774651289013,11020.090143369176,6.334520342481328,19
